id_employee,age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,nombre_heures_travailless,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,eval_number,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,nombre_employee_sous_responsabilite,distance_domicile_travail,niveau_education,domaine_etude,ayant_enfants,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,a_quitte_l_entreprise_norm,present_in_eval,present_in_sondage
23,53,f,15427,marié(e),commercial,senior manager,2,80,31,25,8,1,2,4,4,3,3,E_23,3,non,16 %,non,0,3,1,2,4,infra & cloud,y,occasionnel,3,7,0,True,True
24,38,m,3944,célibataire,consulting,assistant de direction,5,80,6,3,2,4,3,1,4,3,3,E_24,3,oui,11 %,non,0,3,1,2,3,infra & cloud,y,occasionnel,1,2,0,True,True
26,24,f,4011,divorcé(e),consulting,tech lead,0,80,5,4,2,1,4,2,3,4,2,E_26,3,non,18 %,non,1,5,1,11,2,autre,y,aucun,1,3,0,True,True
27,36,m,3407,célibataire,commercial,représentant commercial,7,80,10,5,3,3,2,1,1,2,3,E_27,4,non,23 %,oui,0,4,1,9,4,infra & cloud,y,occasionnel,0,3,1,True,True
28,34,f,11994,célibataire,consulting,directeur technique,0,80,13,12,6,1,3,3,2,3,3,E_28,3,non,11 %,non,0,4,1,7,4,infra & cloud,y,occasionnel,2,11,0,True,True
30,21,m,1232,célibataire,consulting,assistant de direction,1,80,0,0,0,3,3,1,4,4,3,E_30,3,non,14 %,non,0,6,1,15,2,infra & cloud,y,occasionnel,0,0,0,True,True
31,34,m,2960,célibataire,consulting,assistant de direction,2,80,8,4,2,2,3,1,1,3,3,E_31,3,non,11 %,oui,0,2,1,6,1,transformation digitale,y,occasionnel,1,3,1,True,True
32,53,f,19094,divorcé(e),consulting,senior manager,4,80,26,14,13,3,3,5,3,4,2,E_32,3,non,11 %,non,1,3,1,5,3,autre,y,occasionnel,4,8,0,True,True
33,32,f,3919,célibataire,consulting,assistant de direction,1,80,10,10,2,2,1,1,1,2,3,E_33,4,oui,22 %,oui,0,5,1,16,1,infra & cloud,y,frequent,6,7,1,True,True
35,42,m,6825,marié(e),commercial,cadre commercial,0,80,10,9,7,3,3,2,2,4,3,E_35,3,non,11 %,non,1,2,1,8,4,marketing,y,occasionnel,4,2,0,True,True
36,44,f,10248,marié(e),consulting,manager,3,80,24,22,6,1,2,3,4,4,3,E_36,3,non,14 %,non,1,4,1,7,4,transformation digitale,y,occasionnel,5,17,0,True,True
38,46,f,18947,célibataire,commercial,senior manager,3,80,22,2,2,2,3,5,1,4,2,E_38,3,non,12 %,non,0,2,1,2,4,marketing,y,occasionnel,2,1,0,True,True
39,33,m,2496,célibataire,consulting,consultant,4,80,7,1,1,3,3,1,4,4,3,E_39,3,non,11 %,non,0,3,1,2,3,transformation digitale,y,occasionnel,0,0,0,True,True
40,44,m,6465,marié(e),consulting,manager,2,80,9,4,2,4,3,2,4,4,4,E_40,3,oui,13 %,non,0,5,1,10,4,autre,y,occasionnel,1,3,0,True,True
41,30,m,2206,célibataire,consulting,consultant,1,80,10,10,0,4,2,1,3,1,3,E_41,3,non,13 %,non,0,5,1,9,2,transformation digitale,y,occasionnel,1,8,0,True,True
42,39,m,2086,marié(e),commercial,représentant commercial,3,80,19,1,0,4,3,2,4,3,4,E_42,3,non,14 %,oui,1,6,1,5,3,entrepreunariat,y,occasionnel,0,0,1,True,True
45,24,m,2293,marié(e),consulting,assistant de direction,2,80,6,2,0,2,3,1,4,1,2,E_45,3,oui,16 %,oui,1,2,1,1,3,transformation digitale,y,occasionnel,2,0,1,True,True
46,43,f,2645,divorcé(e),consulting,assistant de direction,1,80,6,5,3,4,4,1,3,4,2,E_46,3,non,12 %,non,2,3,1,2,2,transformation digitale,y,occasionnel,1,4,0,True,True
47,50,m,2683,marié(e),commercial,représentant commercial,1,80,3,3,2,1,2,1,3,3,3,E_47,3,oui,14 %,oui,0,2,1,3,2,marketing,y,occasionnel,0,2,1,True,True
49,35,f,2014,marié(e),commercial,représentant commercial,1,80,2,2,2,4,3,1,4,1,3,E_49,3,non,13 %,non,0,3,1,2,3,marketing,y,occasionnel,2,2,0,True,True
51,36,f,3419,marié(e),consulting,assistant de direction,9,80,6,1,1,2,2,1,1,4,4,E_51,3,oui,14 %,non,1,3,1,5,4,infra & cloud,y,occasionnel,0,0,0,True,True
52,33,f,5376,marié(e),commercial,cadre commercial,2,80,10,5,3,3,4,2,1,1,3,E_52,3,non,19 %,non,2,3,1,1,3,infra & cloud,y,frequent,1,3,0,True,True
53,35,m,1951,divorcé(e),consulting,consultant,1,80,1,1,0,3,3,1,4,3,3,E_53,3,non,12 %,non,1,3,1,4,2,autre,y,occasionnel,0,0,0,True,True
54,27,f,2341,divorcé(e),consulting,consultant,1,80,1,1,0,4,3,1,1,4,3,E_54,3,non,13 %,non,1,6,1,2,4,infra & cloud,y,occasionnel,0,0,0,True,True
55,26,m,2293,célibataire,consulting,consultant,1,80,1,1,0,1,1,1,3,3,2,E_55,3,non,12 %,oui,0,2,1,25,3,infra & cloud,y,occasionnel,0,1,1,True,True
56,27,m,8726,célibataire,commercial,cadre commercial,1,80,9,9,8,4,3,3,3,4,3,E_56,3,non,15 %,non,0,0,1,8,3,infra & cloud,y,frequent,1,7,0,True,True
57,30,f,4011,célibataire,consulting,consultant,1,80,12,12,8,3,3,2,4,4,3,E_57,4,non,23 %,non,0,2,1,1,2,transformation digitale,y,frequent,3,7,0,True,True
58,41,f,19545,marié(e),consulting,directeur technique,1,80,23,22,15,2,3,5,3,4,3,E_58,3,non,12 %,oui,0,0,1,12,3,entrepreunariat,y,occasionnel,15,8,1,True,True
60,34,m,4568,célibataire,commercial,cadre commercial,0,80,10,9,5,2,3,2,3,3,3,E_60,4,non,20 %,non,0,2,1,23,4,marketing,y,aucun,8,7,0,True,True
61,37,m,3022,marié(e),consulting,assistant de direction,4,80,8,1,0,2,3,1,2,1,3,E_61,4,non,21 %,non,0,1,1,19,2,infra & cloud,y,occasionnel,0,0,0,True,True
62,46,m,5772,célibataire,commercial,cadre commercial,4,80,14,9,6,1,3,2,4,3,3,E_62,4,oui,21 %,non,0,4,1,5,4,marketing,y,frequent,0,8,0,True,True
63,35,m,2269,marié(e),consulting,consultant,1,80,1,1,0,4,4,1,4,4,3,E_63,3,non,19 %,non,0,2,1,8,1,infra & cloud,y,occasionnel,0,1,0,True,True
64,48,m,5381,célibataire,consulting,consultant,9,80,23,1,0,1,2,3,3,4,3,E_64,3,oui,13 %,oui,0,2,1,1,2,infra & cloud,y,occasionnel,0,0,1,True,True
65,28,m,3441,célibataire,consulting,consultant,1,80,2,2,2,3,3,1,3,3,2,E_65,3,oui,13 %,oui,0,3,1,5,4,entrepreunariat,y,occasionnel,2,2,1,True,True
68,44,f,5454,divorcé(e),commercial,cadre commercial,5,80,9,4,3,2,3,2,1,3,2,E_68,4,oui,21 %,non,1,2,1,1,5,marketing,y,occasionnel,1,3,0,True,True
70,35,m,9884,marié(e),consulting,manager,2,80,10,4,0,3,2,3,1,3,3,E_70,3,oui,13 %,non,1,3,1,11,2,transformation digitale,y,aucun,2,3,0,True,True
72,26,f,4157,marié(e),commercial,cadre commercial,7,80,5,2,2,3,2,2,4,3,2,E_72,3,oui,19 %,non,1,2,1,23,3,marketing,y,occasionnel,0,0,0,True,True
73,33,f,13458,célibataire,consulting,directeur technique,1,80,15,15,14,1,3,3,4,3,3,E_73,3,oui,12 %,non,0,1,1,1,2,infra & cloud,y,frequent,8,12,0,True,True
74,35,m,9069,marié(e),commercial,cadre commercial,1,80,9,9,8,2,3,3,1,4,2,E_74,4,non,22 %,non,1,3,1,18,5,infra & cloud,y,frequent,1,8,0,True,True
75,35,f,4014,marié(e),consulting,consultant,3,80,4,2,2,3,3,1,1,3,3,E_75,3,oui,15 %,non,1,3,1,23,4,transformation digitale,y,occasionnel,2,2,0,True,True
76,31,m,5915,divorcé(e),consulting,consultant,3,80,10,7,7,4,3,2,4,4,2,E_76,4,non,22 %,non,1,3,1,7,4,infra & cloud,y,occasionnel,1,7,0,True,True
77,37,m,5993,divorcé(e),consulting,tech lead,1,80,7,7,5,1,2,2,3,3,4,E_77,3,non,18 %,non,1,2,1,1,4,infra & cloud,y,occasionnel,0,7,0,True,True
78,32,m,6162,marié(e),consulting,tech lead,1,80,9,9,8,1,3,2,4,2,3,E_78,4,oui,22 %,non,1,3,1,1,3,transformation digitale,y,occasionnel,7,8,0,True,True
79,38,f,2406,célibataire,consulting,consultant,1,80,10,10,3,4,3,2,4,4,3,E_79,3,non,11 %,non,0,2,1,29,5,infra & cloud,y,frequent,9,9,0,True,True
80,50,f,18740,divorcé(e),consulting,directeur technique,5,80,29,27,3,2,2,5,3,4,2,E_80,3,oui,12 %,non,1,2,1,7,2,transformation digitale,y,occasionnel,13,8,0,True,True
81,59,f,7637,célibataire,commercial,cadre commercial,7,80,28,21,16,1,3,3,1,4,2,E_81,3,non,11 %,non,0,3,1,25,3,infra & cloud,y,occasionnel,7,9,0,True,True
83,36,f,10096,divorcé(e),consulting,manager,1,80,17,17,14,3,3,3,3,2,3,E_83,3,non,13 %,non,3,2,1,8,3,entrepreunariat,y,occasionnel,12,8,0,True,True
84,55,f,14756,divorcé(e),consulting,senior manager,2,80,21,5,0,4,3,4,3,3,3,E_84,3,oui,14 %,non,3,2,1,8,3,transformation digitale,y,occasionnel,0,2,0,True,True
85,36,m,6499,célibataire,consulting,tech lead,1,80,6,6,5,2,2,2,2,3,3,E_85,3,non,13 %,non,0,3,1,11,3,infra & cloud,y,frequent,0,3,0,True,True
86,45,m,9724,divorcé(e),consulting,assistant de direction,2,80,25,1,0,2,3,3,1,3,3,E_86,3,non,17 %,non,1,2,1,7,3,infra & cloud,y,occasionnel,0,0,0,True,True
88,35,m,2194,marié(e),consulting,assistant de direction,4,80,5,3,2,2,3,1,1,4,2,E_88,3,non,13 %,non,1,2,1,1,3,transformation digitale,y,frequent,1,2,0,True,True
90,36,m,3388,marié(e),consulting,assistant de direction,0,80,2,1,0,4,2,1,3,1,2,E_90,3,oui,17 %,oui,1,0,1,9,3,transformation digitale,y,occasionnel,0,0,1,True,True
91,59,f,5473,célibataire,commercial,cadre commercial,7,80,20,4,3,1,2,2,3,4,2,E_91,3,non,11 %,non,0,2,1,1,1,infra & cloud,y,frequent,1,3,0,True,True
94,29,m,2703,marié(e),consulting,assistant de direction,0,80,6,5,4,3,3,1,2,4,3,E_94,4,non,23 %,non,1,3,1,2,3,infra & cloud,y,occasionnel,0,4,0,True,True
95,31,m,2501,célibataire,consulting,assistant de direction,1,80,1,1,1,3,3,1,2,2,3,E_95,3,non,17 %,non,0,4,1,1,4,transformation digitale,y,occasionnel,1,0,0,True,True
96,32,m,6220,marié(e),consulting,assistant de direction,1,80,10,10,4,2,3,2,2,2,3,E_96,3,non,17 %,non,2,3,1,1,3,infra & cloud,y,occasionnel,0,9,0,True,True
97,36,f,3038,marié(e),consulting,consultant,3,80,5,1,0,2,4,1,4,2,3,E_97,3,non,12 %,non,0,3,1,6,3,infra & cloud,y,occasionnel,0,0,0,True,True
98,31,f,4424,célibataire,consulting,tech lead,1,80,11,11,7,3,3,2,4,4,3,E_98,4,non,23 %,non,0,2,1,8,4,infra & cloud,y,occasionnel,1,8,0,True,True
100,35,m,4312,célibataire,commercial,cadre commercial,0,80,16,15,13,3,2,2,1,2,3,E_100,3,non,14 %,non,0,2,1,1,4,marketing,y,occasionnel,2,8,0,True,True
101,45,m,13245,marié(e),consulting,directeur technique,4,80,17,0,0,4,3,3,1,2,4,E_101,3,oui,14 %,non,0,3,1,6,4,autre,y,occasionnel,0,0,0,True,True
102,37,m,13664,célibataire,consulting,directeur technique,4,80,16,5,2,1,3,3,3,1,4,E_102,3,non,13 %,non,0,3,1,7,4,transformation digitale,y,occasionnel,0,2,0,True,True
103,46,m,5021,divorcé(e),ressources humaines,ressources humaines,8,80,16,4,2,2,3,2,2,4,3,E_103,4,oui,22 %,non,1,2,1,5,2,transformation digitale,y,occasionnel,0,2,0,True,True
104,30,m,5126,marié(e),consulting,consultant,1,80,10,10,8,4,2,2,4,3,2,E_104,3,oui,12 %,non,2,1,1,1,1,infra & cloud,y,occasionnel,3,0,0,True,True
105,35,m,2859,célibataire,consulting,assistant de direction,1,80,6,6,4,2,2,1,3,1,3,E_105,3,non,18 %,non,0,3,1,1,3,transformation digitale,y,occasionnel,0,4,0,True,True
106,55,m,10239,marié(e),commercial,cadre commercial,3,80,24,1,0,1,3,3,4,4,3,E_106,3,non,14 %,non,1,4,1,1,2,infra & cloud,y,occasionnel,1,0,0,True,True
107,38,f,5329,divorcé(e),consulting,assistant de direction,7,80,17,13,11,2,1,2,4,4,3,E_107,3,oui,12 %,non,3,3,1,6,3,transformation digitale,y,aucun,1,9,0,True,True
110,34,m,4325,marié(e),consulting,tech lead,1,80,5,5,2,1,3,2,2,3,3,E_110,3,non,15 %,non,0,2,1,1,2,transformation digitale,y,occasionnel,1,3,0,True,True
112,56,m,7260,célibataire,consulting,tech lead,4,80,37,6,4,4,1,3,4,1,2,E_112,3,non,11 %,non,0,3,1,7,3,infra & cloud,y,occasionnel,0,2,0,True,True
113,23,m,2322,divorcé(e),commercial,représentant commercial,3,80,3,0,0,3,3,1,1,3,3,E_113,3,non,13 %,non,1,3,1,2,1,entrepreunariat,y,occasionnel,0,0,0,True,True
116,51,m,2075,marié(e),consulting,consultant,3,80,10,4,2,4,3,1,4,2,3,E_116,4,non,23 %,non,2,4,1,9,4,infra & cloud,y,occasionnel,0,3,0,True,True
117,30,m,4152,marié(e),consulting,manager,1,80,11,11,10,3,2,2,4,1,3,E_117,3,non,19 %,non,3,3,1,2,3,infra & cloud,y,occasionnel,10,8,0,True,True
118,46,m,9619,célibataire,commercial,cadre commercial,1,80,9,9,8,3,2,3,4,4,3,E_118,3,non,16 %,oui,0,3,1,9,2,transformation digitale,y,occasionnel,4,7,1,True,True
119,40,m,13503,marié(e),consulting,manager,1,80,22,22,3,3,2,4,2,4,2,E_119,4,non,22 %,non,1,3,1,1,4,infra & cloud,y,frequent,11,11,0,True,True
120,51,m,5441,célibataire,commercial,cadre commercial,0,80,11,10,7,3,3,2,4,4,1,E_120,4,oui,22 %,non,0,2,1,21,4,marketing,y,occasionnel,1,0,0,True,True
121,30,f,5209,divorcé(e),commercial,cadre commercial,1,80,11,11,8,3,2,2,2,2,2,E_121,3,oui,12 %,non,3,4,1,4,2,transformation digitale,y,occasionnel,2,7,0,True,True
124,46,m,10673,marié(e),consulting,manager,2,80,21,10,9,3,2,3,1,3,2,E_124,3,oui,13 %,non,1,5,1,1,3,transformation digitale,y,frequent,9,5,0,True,True
125,32,m,5010,célibataire,commercial,cadre commercial,1,80,12,11,8,2,3,2,3,1,3,E_125,3,non,16 %,non,0,0,1,6,4,transformation digitale,y,occasionnel,5,7,0,True,True
126,54,f,13549,marié(e),consulting,directeur technique,9,80,16,4,3,1,3,3,3,1,1,E_126,3,non,12 %,non,1,5,1,2,4,entrepreunariat,y,occasionnel,0,3,0,True,True
128,24,f,4999,marié(e),commercial,cadre commercial,0,80,4,3,2,1,3,2,3,1,2,E_128,4,non,21 %,non,1,2,1,3,2,autre,y,occasionnel,0,2,0,True,True
129,28,m,4221,marié(e),commercial,cadre commercial,1,80,5,5,4,2,3,2,3,2,4,E_129,3,non,15 %,non,0,3,1,4,3,transformation digitale,y,aucun,0,4,0,True,True
131,58,m,13872,célibataire,commercial,cadre commercial,0,80,38,37,10,4,3,4,3,3,2,E_131,3,non,13 %,non,0,1,1,10,4,transformation digitale,y,occasionnel,1,8,0,True,True
132,44,m,2042,marié(e),consulting,consultant,4,80,17,3,2,2,3,2,2,3,4,E_132,3,non,12 %,non,1,3,1,23,3,transformation digitale,y,aucun,1,2,0,True,True
133,37,m,2073,divorcé(e),ressources humaines,ressources humaines,4,80,7,3,2,3,3,1,1,4,3,E_133,4,oui,22 %,oui,0,3,1,6,4,ressources humaines,y,occasionnel,0,2,1,True,True
134,32,m,2956,célibataire,consulting,assistant de direction,1,80,1,1,0,4,3,1,1,4,3,E_134,3,non,13 %,non,0,2,1,1,1,infra & cloud,y,occasionnel,0,0,0,True,True
137,20,f,2926,célibataire,consulting,consultant,1,80,1,1,0,4,2,1,4,2,3,E_137,3,oui,18 %,oui,0,5,1,6,3,infra & cloud,y,frequent,1,0,1,True,True
138,34,f,4809,célibataire,consulting,assistant de direction,1,80,16,16,13,1,3,2,3,3,3,E_138,3,non,14 %,non,0,3,1,6,4,autre,y,occasionnel,2,10,0,True,True
139,37,m,5163,divorcé(e),consulting,manager,5,80,17,1,0,3,2,2,4,4,4,E_139,3,non,14 %,non,1,2,1,2,2,infra & cloud,y,aucun,0,0,0,True,True
140,59,f,18844,marié(e),ressources humaines,senior manager,9,80,30,3,2,3,2,5,4,4,3,E_140,4,non,21 %,non,1,3,1,2,4,ressources humaines,y,aucun,2,2,0,True,True
141,50,f,18172,marié(e),consulting,directeur technique,3,80,28,8,3,1,3,5,2,1,2,E_141,3,oui,19 %,non,0,1,1,1,3,infra & cloud,y,frequent,0,7,0,True,True
142,25,m,5744,célibataire,commercial,cadre commercial,1,80,6,6,4,3,2,2,3,4,3,E_142,3,oui,11 %,oui,0,1,1,5,3,marketing,y,occasionnel,0,3,1,True,True
143,25,m,2889,marié(e),consulting,assistant de direction,1,80,2,2,2,4,2,1,4,3,3,E_143,3,non,11 %,non,2,2,1,7,1,transformation digitale,y,occasionnel,2,1,0,True,True
144,22,f,2871,célibataire,consulting,consultant,1,80,1,0,0,2,3,1,4,3,3,E_144,3,non,15 %,non,0,5,1,15,3,transformation digitale,y,occasionnel,0,0,0,True,True
145,51,f,7484,célibataire,consulting,manager,3,80,23,13,12,1,2,3,1,3,2,E_145,4,non,20 %,non,0,1,1,1,4,transformation digitale,y,frequent,12,8,0,True,True
147,34,m,6074,célibataire,consulting,consultant,1,80,9,9,7,1,1,2,3,4,3,E_147,4,oui,24 %,oui,0,3,1,7,3,infra & cloud,y,frequent,0,6,1,True,True
148,54,f,17328,célibataire,ressources humaines,senior manager,2,80,23,5,3,4,4,4,4,3,3,E_148,3,oui,12 %,non,0,3,1,26,3,ressources humaines,y,aucun,4,4,0,True,True
150,24,m,2774,marié(e),consulting,consultant,0,80,6,5,3,2,3,1,3,3,3,E_150,3,non,12 %,non,1,2,1,18,1,infra & cloud,y,occasionnel,1,2,0,True,True
151,34,f,4505,divorcé(e),consulting,assistant de direction,6,80,12,1,0,3,2,2,2,3,3,E_151,3,non,15 %,non,1,3,1,6,4,infra & cloud,y,occasionnel,0,0,0,True,True
152,37,m,7428,célibataire,commercial,cadre commercial,2,80,12,5,3,3,3,3,4,1,3,E_152,3,non,12 %,non,0,3,1,3,3,infra & cloud,y,occasionnel,1,3,0,True,True
153,34,f,11631,célibataire,consulting,senior manager,2,80,14,11,10,3,2,3,1,4,3,E_153,3,non,12 %,non,0,6,1,5,3,transformation digitale,y,occasionnel,5,8,0,True,True
154,36,f,9738,marié(e),commercial,cadre commercial,0,80,10,9,7,2,3,3,4,3,3,E_154,3,non,14 %,non,1,6,1,11,2,entrepreunariat,y,frequent,2,8,0,True,True
155,36,f,2835,divorcé(e),consulting,consultant,5,80,7,1,0,1,3,1,4,1,3,E_155,4,non,22 %,non,1,2,1,3,2,infra & cloud,y,occasionnel,0,0,0,True,True
158,43,m,16959,marié(e),commercial,senior manager,1,80,25,25,12,3,3,4,4,4,4,E_158,3,oui,12 %,non,2,3,1,26,2,infra & cloud,y,frequent,4,12,0,True,True
159,30,m,2613,divorcé(e),consulting,assistant de direction,1,80,10,10,7,1,1,1,3,3,2,E_159,4,non,25 %,non,3,2,1,23,3,infra & cloud,y,frequent,0,9,0,True,True
160,33,m,6146,marié(e),commercial,cadre commercial,0,80,8,7,7,3,3,2,2,1,4,E_160,3,non,13 %,non,1,2,1,22,2,marketing,y,aucun,0,7,0,True,True
161,56,f,4963,marié(e),consulting,assistant de direction,9,80,7,5,4,2,3,1,2,1,3,E_161,3,oui,18 %,oui,3,2,1,14,4,infra & cloud,y,occasionnel,4,3,1,True,True
162,51,m,19537,célibataire,consulting,directeur technique,7,80,23,20,18,1,3,5,3,3,3,E_162,3,non,13 %,non,0,5,1,6,3,infra & cloud,y,occasionnel,15,15,0,True,True
163,31,m,6172,marié(e),commercial,cadre commercial,4,80,12,7,7,2,1,2,3,2,2,E_163,3,oui,18 %,oui,0,3,1,6,4,infra & cloud,y,occasionnel,7,7,1,True,True
164,26,f,2368,marié(e),consulting,assistant de direction,1,80,5,5,4,3,2,1,2,3,2,E_164,3,non,19 %,non,0,3,1,6,3,autre,y,occasionnel,4,3,0,True,True
165,58,f,10312,marié(e),consulting,manager,1,80,40,40,10,4,3,3,4,4,2,E_165,3,non,12 %,oui,1,3,1,23,4,transformation digitale,y,occasionnel,15,6,1,True,True
167,19,m,1675,célibataire,commercial,représentant commercial,1,80,0,0,0,4,3,1,3,4,2,E_167,3,oui,19 %,oui,0,2,1,22,1,marketing,y,occasionnel,0,0,1,True,True
169,22,m,2523,marié(e),consulting,consultant,0,80,3,2,1,3,3,1,4,3,3,E_169,3,non,14 %,non,1,2,1,2,1,entrepreunariat,y,occasionnel,2,1,0,True,True
170,49,f,6567,marié(e),consulting,tech lead,1,80,16,15,11,3,3,2,1,3,2,E_170,3,non,14 %,non,0,2,1,20,4,transformation digitale,y,occasionnel,5,11,0,True,True
171,43,f,4739,célibataire,consulting,assistant de direction,4,80,18,3,2,2,4,1,3,4,3,E_171,3,non,12 %,non,0,2,1,28,3,transformation digitale,y,frequent,1,2,0,True,True
174,50,f,9208,célibataire,commercial,cadre commercial,4,80,16,2,2,3,3,3,4,4,3,E_174,3,non,11 %,non,0,3,1,12,3,marketing,y,frequent,2,1,0,True,True
175,31,f,4559,marié(e),commercial,cadre commercial,3,80,4,2,2,2,1,2,3,3,3,E_175,3,oui,11 %,oui,1,2,1,20,3,infra & cloud,y,occasionnel,2,2,1,True,True
176,41,m,8189,divorcé(e),commercial,cadre commercial,3,80,12,9,7,3,3,3,3,3,3,E_176,3,oui,13 %,non,1,2,1,9,1,infra & cloud,y,occasionnel,0,7,0,True,True
177,26,f,2942,marié(e),ressources humaines,ressources humaines,1,80,8,8,7,3,3,1,3,4,3,E_177,4,non,23 %,non,1,3,1,25,1,infra & cloud,y,occasionnel,5,7,0,True,True
178,36,m,4941,divorcé(e),consulting,tech lead,6,80,7,3,2,2,3,2,2,4,3,E_178,4,non,20 %,non,2,0,1,6,2,transformation digitale,y,occasionnel,0,1,0,True,True
179,51,m,10650,célibataire,consulting,tech lead,2,80,18,4,2,1,1,3,4,4,3,E_179,3,non,15 %,oui,0,2,1,8,4,infra & cloud,y,frequent,0,3,1,True,True
182,39,f,5902,marié(e),commercial,cadre commercial,4,80,17,15,11,4,2,2,3,3,4,E_182,3,non,14 %,non,1,1,1,4,4,infra & cloud,y,occasionnel,5,9,0,True,True
183,25,m,8639,marié(e),commercial,cadre commercial,2,80,6,2,2,1,2,2,3,4,3,E_183,3,non,18 %,non,0,3,1,28,3,infra & cloud,y,occasionnel,2,2,0,True,True
184,30,m,6347,marié(e),ressources humaines,ressources humaines,0,80,12,11,9,3,3,2,4,4,1,E_184,3,oui,19 %,non,0,2,1,9,3,ressources humaines,y,occasionnel,4,7,0,True,True
